​:ID;title:string;venue:string;city:string;period:string;year:int
9047771;Edition of the Third SIAM International Conference on Data Mining, San Francisco, CA, USA, May 1-3, 2003;Ritz-Carlton Kapalua;Athens;12-13 July;1969
9047772;Edition of the Sixth SIAM International Conference on Data Mining, April 20-22, 2006, Bethesda, MD, USA;Marriott Maui Ocean Club;Paris;1-2 June;1970
9047773;Edition of the 13th SIAM International Conference on Data Mining, May 2-4, 2013. Austin, Texas, USA.;Sheraton Princess Kaiulani;Brussels;10-14 January;1971
9047774;Edition of the First SIAM International Conference on Data Mining, SDM 2001, Chicago, IL, USA, April 5-7, 2001;Kahala Hotel & Resort;Thessaloniki;8-9 February;1972
9047775;Edition of the 2016 SIAM International Conference on Data Mining, Miami, Florida, USA, May 5-7, 2016;Holiday Inn Waikiki Beachcomber;London;11-13 March;1973
9047776;Edition of the Twelfth SIAM International Conference on Data Mining, Anaheim, California, USA, April 26-28, 2012.;Hilton Hawaiian Village;Barcelona;23-25 April;1974
9047777;Edition of the 2014 SIAM International Conference on Data Mining, Philadelphia, Pennsylvania, USA, April 24-26, 2014;Hale Koa Hotel;Madrid;28-29 May;1975
9047778;Edition of the Fourth SIAM International Conference on Data Mining, Lake Buena Vista, Florida, USA, April 22-24, 2004;Waikiki Beach Marriott;Berlin;22-23 August;1976
9047779;Edition of the 2017 SIAM International Conference on Data Mining, Houston, Texas, USA, April 27-29, 2017.;Sheraton Waikiki;Athens;25-28 August;1977
9047780;Edition of the SIAM International Conference on Data Mining, SDM 2010, April 29 - May 1, 2010, Columbus, Ohio, USA;Turtle Bay Resort;Paris;12-14 June;1978
9047781;Edition of the Eleventh SIAM International Conference on Data Mining, SDM 2011, April 28-30, 2011, Mesa, Arizona, USA;JW Marriott Ihilani, Ko Olina;Brussels;17-19 September;1979
9047782;Edition of the 2018 SIAM International Conference on Data Mining, SDM 2018, May 3-5, 2018, San Diego Marriott Mission Valley, San Diego, CA, USA.;Grand Wailea Resort;Thessaloniki;20-22 September;1980
9047895;2009 International Asia Conference on Informatics in Control, Automation and Robotics, CAR 2009, Bangkok, Thailand, 1-2 February 2009;Maui Prince Hotel;London;22-25 December;1981
9047953;IGIS '94: Geographic Information Systems, International Workshop on Advanced Information Systems, Monte Verita, Ascona, Switzerland, February 28 - March 4, 1994, Edition;Mauna Lani Bay Hotel & Bungalows;Barcelona;10-12 November;1982
9048015;Provenance and Annotation of Data and Processes, Second International Provenance and Annotation Workshop, IPAW 2008, Salt Lake City, UT, USA, June 17-18, 2008. Revised Selected Papers;Hilton Waikoloa Village;Madrid;12-13 July;1983
9048016;Provenance and Annotation of Data, International Provenance and Annotation Workshop, IPAW 2006, Chicago, IL, USA, May 3-5, 2006, Revised Selected Papers;Wyndham at Waikiki Beach Walk;Berlin;1-2 June;1984
9048017;Provenance and Annotation of Data and Processes - 6th International Provenance and Annotation Workshop, IPAW 2016, McLean, VA, USA, June 7-8, 2016, Edition;Marriott Waiohai Beach Club;Athens;10-14 January;1985
9048018;Provenance and Annotation of Data and Processes - 4th International Provenance and Annotation Workshop, IPAW 2012, Santa Barbara, CA, USA, June 19-21, 2012, Revised Selected Papers;Westin Kaanapali Ocean Resort Villas;Paris;8-9 February;1986
9048019;Provenance and Annotation of Data and Processes - 5th International Provenance and Annotation Workshop, IPAW 2014, Cologne, Germany, June 9-13, 2014. Revised Selected Papers;Wailea Beach Marriott Resort & Spa;Brussels;11-13 March;1987
9048020;Provenance and Annotation of Data and Processes - Third International Provenance and Annotation Workshop, IPAW 2010, Troy, NY, USA, June 15-16, 2010. Revised Selected Papers;Hyatt Regency Maui Resort & Spa;Thessaloniki;23-25 April;1988
9048021;Provenance and Annotation of Data and Processes - 7th International Provenance and Annotation Workshop, IPAW 2018, London, UK, July 9-10, 2018, Edition;Fairmont Kea Lani;London;28-29 May;1989
9048097;Edition of the Joint Workshop on Linguistic Annotation, Multiword Expressions and Constructions, LAW-MWE-CxG@COLING 2018, Santa Fe, New Mexico, USA, August 25-26, 2018;Moana Surfrider;Barcelona;22-23 August;1990
9048196;13th International Workshop on Discrete Event Systems, WODES 2016, Xi'an, China, May 30 - June 1, 2016;Ko Olina Marriot Beach Club;Madrid;25-28 August;1991
9048197;11th International Workshop on Discrete Event Systems, WODES 2012, Guadalajara, Mexico, October 3-5, 2012.;Hyatt Regency Waikiki;Berlin;12-14 June;1992
9048198;12th International Workshop on Discrete Event Systems, WODES 2014, Cachan, France, May 14-16, 2014.;Hawaii Prince Hotel Waikiki;Athens;17-19 September;1993
9048199;10th International Workshop on Discrete Event Systems, WODES 2010, Berlin, Germany, August 30 - September 01, 2010.;Aqua Bamboo Waikiki;Paris;20-22 September;1994
9048259;Smart Computing and Communication - First International Conference, SmartCom 2016, Shenzhen, China, December 17-19, 2016, Edition;Aqua Aloha Surf Waikiki Hotel;Brussels;22-25 December;1995
9048260;Smart Computing and Communication - Second International Conference, SmartCom 2017, Shenzhen, China, December 10-12, 2017, Edition;Sheraton Kauai Resort;Thessaloniki;10-12 November;1996
9048261;Smart Computing and Communication - Third International Conference, SmartCom 2018, Tokyo, Japan, December 10-12, 2018, Edition;Kilauea Lakeside Estate;London;12-13 July;1997
9047402;Integrated Intelligent Systems for Engineering Design;Grand Hyatt Kauai Resort & Spa;Barcelona;1-2 June;1955
9047441;SYMSAC 1976, Edition of the third ACM Symposium on Symbolic and Algebraic Manipulation, Yorktown Heights, New York, USA, August 10-12, 1976;Ritz-Carlton Kapalua;Madrid;10-14 January;1956
9047444;SYMSAC 1981, Edition of the Symposium on Symbolic and Algebraic Manipulation, Snowbird, Utah, USA, August 5-7, 1981;Marriott Maui Ocean Club;Berlin;8-9 February;1957
9047447;SYMSAC 1986, Edition of the Symposium on Symbolic and Algebraic Manipulation, Waterloo, Ontario, Canada, July 21-23, 1986;Sheraton Princess Kaiulani;Athens;11-13 March;1958
9047542;Edition of the IEEE Forum on Research and Technology Advances in Digital Libraries, Baltimore, Maryland, USA, May 19-21, 1999;Kahala Hotel & Resort;Paris;23-25 April;1959
9047543;Edition of the Third Forum on Research and Technology Advances in Digital Library, ADL '96, Washington, DC, USA, May 13-15, 1996;Holiday Inn Waikiki Beachcomber;Brussels;28-29 May;1960
9047544;Digital Libraries, Research and Technology Advances, ADL '95 Forum, McLean, Virginia, USA, May 15-17, 1995, Selected Papers;Hilton Hawaiian Village;Thessaloniki;22-23 August;1961
9047545;4th International Forum on Research and Technology Advances in Digital Libraries (ADL '97), Washington, DC, USA, May 7-9, 1997;Hale Koa Hotel;London;25-28 August;1962
9047546;Edition of IEEE Advances in Digital Libraries 2000 (ADL 2000), Washington, DC, USA, May 22-24, 2000;Waikiki Beach Marriott;Barcelona;12-14 June;1963
9047547;Edition of the IEEE Forum on Reasearch and Technology Advances in Digital Libraries, IEEE ADL '98, Santa Barbara, California, USA, April 22-24, 1998;Sheraton Waikiki;Madrid;17-19 September;1964
9047636;Software Engineering for Large-Scale Multi-Agent Systems, Research Issues and Practical Applications [the book is a result of SELMAS 2002];Turtle Bay Resort;Berlin;20-22 September;1965
9047637;Software Engineering for Multi-Agent Systems IV, Research Issues and Practical Applications [the book is a result of SELMAS 2005].;JW Marriott Ihilani, Ko Olina;Athens;22-25 December;1966
9047638;Software Engineering for Multi-Agent Systems II, Research Issues and Practical Applications [the book is a result of SELMAS 2003];Grand Wailea Resort;Paris;10-12 November;1967
9047639;Software Engineering for Multi-Agent Systems V, Research Issues and Practical Applications [the book is a result of SELMAS 2006].;Maui Prince Hotel;Brussels;12-13 July;1968
9047640;Software Engineering for Multi-Agent Systems III, Research Issues and Practical Applications [the book is a result of SELMAS 2004].;Mauna Lani Bay Hotel & Bungalows;Thessaloniki;1-2 June;1969
9047694;Edition of the Sixth Web as Corpus Workshop, WAC@NAACL-HLT 2010, Los Angeles, CA, USA, June 5, 2010;Hilton Waikoloa Village;London;10-14 January;1970
9047783;Edition of the Conference on Summer Computer Simulation, SummerSim 2015, Chicago, IL, USA, July 26-29, 2015;Wyndham at Waikiki Beach Walk;Barcelona;8-9 February;1971
9047785;Edition of the 2014 Summer Simulation Multiconference, SummerSim 2014, Monterey, CA, USA, July 6-10, 2014;Marriott Waiohai Beach Club;Madrid;11-13 March;1972
9047896;2007 International Symposium on Collaborative Technologies and Systems, CTS 2007, Orlando, Florida, USA, May 21-25, 2007;Westin Kaanapali Ocean Resort Villas;Berlin;23-25 April;1973
9047897;2015 International Conference on Collaboration Technologies and Systems, CTS 2015, Atlanta, GA, USA, June 1-5, 2015;Wailea Beach Marriott Resort & Spa;Athens;28-29 May;1974
9047898;2009 International Symposium on Collaborative Technologies and Systems, CTS 2009, Baltimore, Maryland, USA, May 18-22, 2009;Hyatt Regency Maui Resort & Spa;Paris;22-23 August;1975
9047899;Edition of the 2005 International Symposium on Collaborative Technologies and Systems, CTS 2005, Saint Louis, Missouri, USA, May 15-20, 2005;Fairmont Kea Lani;Brussels;25-28 August;1976
9047900;2008 International Symposium on Collaborative Technologies and Systems, CTS 2008, Irvine, California, USA, May 19-23, 2008;Moana Surfrider;Thessaloniki;12-14 June;1977
9047901;2006 International Symposium on Collaborative Technologies and Systems, CTS 2006, Las Vegas, NV, USA, May 14-17, 2006;Ko Olina Marriot Beach Club;London;17-19 September;1978
9047902;2013 International Conference on Collaboration Technologies and Systems, CTS 2013, San Diego, CA, USA, May 20-24, 2013;Hyatt Regency Waikiki;Barcelona;20-22 September;1979
9047903;2016 International Conference on Collaboration Technologies and Systems, CTS 2016, Orlando, FL, USA, October 31 - November 4, 2016;Hawaii Prince Hotel Waikiki;Madrid;22-25 December;1980
9047904;2012 International Conference on Collaboration Technologies and Systems, CTS 2012, Denver, CO, USA, May 21-25, 2012;Aqua Bamboo Waikiki;Berlin;10-12 November;1981
9047905;2014 International Conference on Collaboration Technologies and Systems, CTS 2014, Minneapolis, MN, USA, May 19-23, 2014;Aqua Aloha Surf Waikiki Hotel;Athens;12-13 July;1982
9047906;2010 International Symposium on Collaborative Technologies and Systems, CTS 2010, Chicago, Illinois, USA, May 17-21, 2010;Sheraton Kauai Resort;Paris;1-2 June;1983
9047907;2011 International Conference on Collaboration Technologies and Systems, CTS 2011, Philadelphia, Pennsylvania, USA, May 23-27, 2011;Kilauea Lakeside Estate;Brussels;10-14 January;1984
9047954;Progress in Nonlinear Speech Processing, Workshop on Nonlinear Speech Processing, WNSP 2005, Heraklion, Crete, Greece, September 20-23, 2005;Grand Hyatt Kauai Resort & Spa;Thessaloniki;8-9 February;1985
9048022;Computer-based Support for Clinical Guidelines and Protocols - Edition of the Symposium on Computerized Guidelines and Protocols, CGP 2004, Prague, Czech Republic, 12-14 April, 2004;Ritz-Carlton Kapalua;London;11-13 March;1986
9048098;Soft Methods for Handling Variability and Imprecision, Selected papers from the 4th International Conference on Soft Methods in Probability and Statistics, SMPS 2008, Toulouse, France, September 8-10, 2008;Marriott Maui Ocean Club;Barcelona;23-25 April;1987
9048099;Soft Methods for Integrated Uncertainty Modelling, Edition of the 2006 International Workshop on Soft Methods in Probability and Statistics, SMPS 2006, Bristol, UK, 5-7 September 2006;Sheraton Princess Kaiulani;Madrid;28-29 May;1988
9048100;Soft Methods for Data Science, SMPS 2016, Rome, Italy, 12-14 September, 2016.;Kahala Hotel & Resort;Berlin;22-23 August;1989
9048101;Synergies of Soft Computing and Statistics for Intelligent Data Analysis, Edition of the 6th International Conference on Soft Methods in Probability and Statistics, SMPS 2012, Konstanz, Germany, October 4-6, 2012;Holiday Inn Waikiki Beachcomber;Athens;25-28 August;1990
9048102;Strengthening Links Between Data Analysis and Soft Computing, SMPS 2014, Warsaw, Poland, September 22-24, 2014.;Hilton Hawaiian Village;Paris;12-14 June;1991
9048103;Combining Soft Computing and Statistical Methods in Data Analysis, SMPS 2010, Oviedo, Spain, September 29 - October 1, 2010;Hale Koa Hotel;Brussels;17-19 September;1992
9048104;Uncertainty Modelling in Data Science, SMPS 2018, CompiÃ¨gne, France, 17-21 September 2018.;Waikiki Beach Marriott;Thessaloniki;20-22 September;1993
9048200;Distributed and Parallel Systems: Cluster and Grid Computing (DAPSYS 2004, Austrian-Hungarian Workshop on Distributed and Parallel Systems, Budapest, Hungary September 19-22, 2004);Sheraton Waikiki;London;22-25 December;1994
9048262;5th International Workshop on Systems Software Verification, SSV'10, Vancouver, BC, Canada, October 6-7, 2010;Turtle Bay Resort;Barcelona;10-12 November;1995
9048263;6th International Workshop on Systems Software Verification, SSV 2011, August 26, 2011, Nijmegen, The Netherlands;JW Marriott Ihilani, Ko Olina;Madrid;12-13 July;1996
9047403;Emerging Artificial Intelligence Applications in Computer Engineering - Real Word AI Systems with Applications in eHealth, HCI, Information Retrieval and Pervasive Technologies;Grand Wailea Resort;Berlin;1-2 June;1955
9047451;Edition of the International Workshop on Parallel Symbolic Computation, PASCO@ISSAC 2017, Kaiserslautern, Germany, July 23-24, 2017;Maui Prince Hotel;Athens;10-14 January;1956
9047548;2nd USENIX Workshop on Hot Topics in Management of Internet, Cloud, and Enterprise Networks and Services, Hot-ICE'12, San Jose, CA, USA, April 24, 2012;Mauna Lani Bay Hotel & Bungalows;Paris;8-9 February;1957
9047562;USENIX Workshop on Hot Topics in Management of Internet, Cloud, and Enterprise Networks and Services, Hot-ICE'11, Boston, MA, USA, March 29, 2011;Hilton Waikoloa Village;Brussels;11-13 March;1958
9047695;EurAsia-ICT 2002: Information and Communication Technology, First EurAsian Conference, Shiraz, Iran, October 29-31, 2002, Edition;Wyndham at Waikiki Beach Walk;Thessaloniki;23-25 April;1959
9047784;Edition of the International Conference on Bond Graph Modeling and Simulation, ICBGM@SummerSim, Montreal, QC, Canada, July 24 - 27, 2016;Marriott Waiohai Beach Club;London;28-29 May;1960
9047908;2018 IEEE/ACM Symposium on Edge Computing, SEC 2018, Seattle, WA, USA, October 25-27, 2018;Westin Kaanapali Ocean Resort Villas;Barcelona;22-23 August;1961
9047909;IEEE/ACM Symposium on Edge Computing, SEC 2016, Washington, DC, USA, October 27-28, 2016;Wailea Beach Marriott Resort & Spa;Madrid;25-28 August;1962
9047910;Edition of the Second ACM/IEEE Symposium on Edge Computing, San Jose / Silicon Valley, SEC 2017, CA, USA, October 12-14, 2017;Hyatt Regency Maui Resort & Spa;Berlin;12-14 June;1963
9047955;Computational Social Networks - 4th International Conference, CSoNet 2015, Beijing, China, August 4-6, 2015, Edition;Fairmont Kea Lani;Athens;17-19 September;1964
9047956;Computational Social Networks - 5th International Conference, CSoNet 2016, Ho Chi Minh City, Vietnam, August 2-4, 2016, Edition;Moana Surfrider;Paris;20-22 September;1965
9047957;Computational Data and Social Networks - 7th International Conference, CSoNet 2018, Shanghai, China, December 18-20, 2018, Edition;Ko Olina Marriot Beach Club;Brussels;22-25 December;1966
9048023;Computational Combinatorial Optimization, Optimal or Provably Near-Optimal Solutions [based on a Spring School, SchloÃŸ Dagstuhl, Germany, 15-19 May 2000];Hyatt Regency Waikiki;Thessaloniki;10-12 November;1967
9048106;Network and System Security - 9th International Conference, NSS 2015, New York, NY, USA, November 3-5, 2015, Edition;Hawaii Prince Hotel Waikiki;London;12-13 July;1968
9048107;Third International Conference on Network and System Security, NSS 2009, Gold Coast, Queensland, Australia, October 19-21, 2009;Aqua Bamboo Waikiki;Barcelona;1-2 June;1969
9048108;Network and System Security - 7th International Conference, NSS 2013, Madrid, Spain, June 3-4, 2013. Edition;Aqua Aloha Surf Waikiki Hotel;Madrid;10-14 January;1970
9048109;Network and System Security - 10th International Conference, NSS 2016, Taipei, Taiwan, September 28-30, 2016, Edition;Sheraton Kauai Resort;Berlin;8-9 February;1971
9048110;Network and System Security - 6th International Conference, NSS 2012, Wuyishan, Fujian, China, November 21-23, 2012. Edition;Kilauea Lakeside Estate;Athens;11-13 March;1972
9048111;Network and System Security - 8th International Conference, NSS 2014, Xi'an, China, October 15-17, 2014, Edition;Grand Hyatt Kauai Resort & Spa;Paris;23-25 April;1973
9048112;Network and System Security - 11th International Conference, NSS 2017, Helsinki, Finland, August 21-23, 2017, Edition;Ritz-Carlton Kapalua;Brussels;28-29 May;1974
9048113;Fourth International Conference on Network and System Security, NSS 2010, Melbourne, Victoria, Australia, September 1-3, 2010;Marriott Maui Ocean Club;Thessaloniki;22-23 August;1975
9048114;5th International Conference on Network and System Security, NSS 2011, Milan, Italy, September 6-8, 2011;Sheraton Princess Kaiulani;London;25-28 August;1976
9048115;Network and System Security - 12th International Conference, NSS 2018, Hong Kong, China, August 27-29, 2018, Edition;Kahala Hotel & Resort;Barcelona;12-14 June;1977
9048201;Edition of the 9th International Conference on Machine Learning and Computing, ICMLC 2017, Singapore, February 24 - 26, 2017;Holiday Inn Waikiki Beachcomber;Madrid;17-19 September;1978
9048202;Edition of the 10th International Conference on Machine Learning and Computing, ICMLC 2018, Macau, China, February 26-28, 2018;Hilton Hawaiian Village;Berlin;20-22 September;1979
9048264;Information and Communication Technologies for Development - 14th IFIP WG 9.4 International Conference on Social Implications of Computers in Developing Countries, ICT4D 2017, Yogyakarta, Indonesia, May 22-24, 2017, Edition;Hale Koa Hotel;Athens;22-25 December;1980
9047404;Handbook of Satisfiability;Waikiki Beach Marriott;Paris;10-12 November;1955
9047453;Symbolic-Numeric Computation, SNC 2007, International Workshop, 25-27 July 2007, University of Western Ontario, London, Ontario, Canada;Sheraton Waikiki;Brussels;12-13 July;1956
9047549;4th Symposium on Networked Systems Design and Implementation (NSDI 2007), April 11-13, 2007, Cambridge, Massachusetts, USA, Edition.;Turtle Bay Resort;Thessaloniki;1-2 June;1957
9047550;12th USENIX Symposium on Networked Systems Design and Implementation, NSDI 15, Oakland, CA, USA, May 4-6, 2015;JW Marriott Ihilani, Ko Olina;London;10-14 January;1958
9047551;Edition of the 6th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2009, April 22-24, 2009, Boston, MA, USA;Grand Wailea Resort;Barcelona;8-9 February;1959
9047553;2nd Symposium on Networked Systems Design and Implementation (NSDI 2005), May 2-4, 2005, Boston, Massachusetts, USA, Edition.;Maui Prince Hotel;Madrid;11-13 March;1960
9047556;5th USENIX Symposium on Networked Systems Design & Implementation, NSDI 2008, April 16-18, 2008, San Francisco, CA, USA, Edition;Mauna Lani Bay Hotel & Bungalows;Berlin;23-25 April;1961
9047558;3rd Symposium on Networked Systems Design and Implementation (NSDI 2006), May 8-10, 2007, San Jose, California, USA, Edition.;Hilton Waikoloa Village;Athens;28-29 May;1962
9047559;Edition of the 10th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2013, Lombard, IL, USA, April 2-5, 2013;Wyndham at Waikiki Beach Walk;Paris;22-23 August;1963
9047561;13th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2016, Santa Clara, CA, USA, March 16-18, 2016;Marriott Waiohai Beach Club;Brussels;25-28 August;1964
9047563;Edition of the 9th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2012, San Jose, CA, USA, April 25-27, 2012;Westin Kaanapali Ocean Resort Villas;Thessaloniki;12-14 June;1965
9047564;Edition of the 11th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2014, Seattle, WA, USA, April 2-4, 2014;Wailea Beach Marriott Resort & Spa;London;17-19 September;1966
9047565;1st Symposium on Networked Systems Design and Implementation (NSDI 2004), March 29-31, 2004, San Francisco, California, USA, Edition;Hyatt Regency Maui Resort & Spa;Barcelona;20-22 September;1967
9047566;14th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2017, Boston, MA, USA, March 27-29, 2017;Fairmont Kea Lani;Madrid;22-25 December;1968
9047567;Edition of the 7th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2010, April 28-30, 2010, San Jose, CA, USA;Moana Surfrider;Berlin;10-12 November;1969
9047568;Edition of the 8th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2011, Boston, MA, USA, March 30 - April 1, 2011;Ko Olina Marriot Beach Club;Athens;12-13 July;1970
9047570;15th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2018, Renton, WA, USA, April 9-11, 2018;Hyatt Regency Waikiki;Paris;1-2 June;1971
9047642;Intelligent Data Analysis and Applications, Edition of the Second Euro-China Conference on Intelligent Data Analysis and Applications, ECC 2015, Jun 29, 2015 - Jul 1, 2015, Technical University of Ostrava, Czech Republic;Hawaii Prince Hotel Waikiki;Brussels;10-14 January;1972
9047644;Intelligent Data Analysis and Applications - Edition of the Third Euro-China Conference on Intelligent Data Analysis and Applications, ECC 2016, Fuzhou City, China, November 7-9, 2016;Aqua Bamboo Waikiki;Thessaloniki;8-9 February;1973
9047645;Edition of the Fourth Euro-China Conference on Intelligent Data Analysis and Applications, ECC 2017, MÃ¡laga, Spain, October 9-11, 2017;Aqua Aloha Surf Waikiki Hotel;London;11-13 March;1974
9047696;Expertensysteme '87: Konzepte und Werkzeuge, Tagung I/1987 des German Chapter of the ACM am 7. und 8.4.1987 in NÃ¼rnberg;Sheraton Kauai Resort;Barcelona;23-25 April;1975
9047786;Edition of the International Symposium on Performance Evaluation of Computer and Telecommunication Systems, Chicago, IL, USA, July 26-29, 2015;Kilauea Lakeside Estate;Madrid;28-29 May;1976
9047911;Edition of the Workshop on Smart Internet of Things, SmartIoT@SEC 2017, San Jose / Silicon Valley, CA, USA, October 14, 2017;Grand Hyatt Kauai Resort & Spa;Berlin;22-23 August;1977
9047958;Machines, Computations, and Universality, 5th International Conference, MCU 2007, OrlÃ©ans, France, September 10-13, 2007, Edition;Ritz-Carlton Kapalua;Athens;25-28 August;1978
9047959;Machines, Computations, and Universality - 7th International Conference, MCU 2015, Famagusta, North Cyprus, September 9-11, 2015, Edition;Marriott Maui Ocean Club;Paris;12-14 June;1979
9047960;Machines, Computations, and Universality, Third International Conference, MCU 2001, Chisinau, Moldova, May 23-27, 2001, Edition;Sheraton Princess Kaiulani;Brussels;17-19 September;1980
9047962;Machines, Computations, and Universality, 4th International Conference, MCU 2004, Saint Petersburg, Russia, September 21-24, 2004, Revised Selected Papers;Kahala Hotel & Resort;Thessaloniki;20-22 September;1981
9047964;Machines, Computations, and Universality - 8th International Conference, MCU 2018, Fontainebleau, France, June 28-30, 2018, Edition;Holiday Inn Waikiki Beachcomber;London;22-25 December;1982
9048024;Marktplatz Internet: von E-Learning bis E-Payment, 13. Leipziger Informatik-Tage, LIT 2005, 21.-23. September 2005, Leipzig;Hilton Hawaiian Village;Barcelona;10-12 November;1983
9048203;Advances in Computer Science, Intelligent System and Environment [Edition of CSISE 2011, Volume 2, September 24-25, 2011, Guangzhou, China];Hale Koa Hotel;Madrid;12-13 July;1984
9048265;Edition of the 1st Amrita ACM-W Celebration on Women in Computing in India, September 16-17, 2010, Tamilnadu, India;Waikiki Beach Marriott;Berlin;1-2 June;1985
9047405;Computational Intelligence and Bioengineering - Essays in Memory of Antonina Starita;Sheraton Waikiki;Athens;10-14 January;1955
9047465;Parallel Symbolic Computation, PASCO 2007, International Workshop, 27-28 July 2007, University of Western Ontario, London, Ontario, Canada;Turtle Bay Resort;Paris;8-9 February;1956
9047552;Third International Workshop on Networking Meets Databases, NetDB'07, Cambridge, MA, USA, April 10, 2007;JW Marriott Ihilani, Ko Olina;Brussels;11-13 March;1957
9047643;Intelligent Data analysis and its Applications, Volume I - Proceeding of the First Euro-China Conference on Intelligent Data Analysis and Applications, ECC 2014, June 13-15, 2014, Shenzhen, China;Grand Wailea Resort;Thessaloniki;23-25 April;1958
9047697;XPS-99: Knowledge-Based Systems - Survey and Future Directions, 5th Biannual German Conference on Knowledge-Based Systems, WÃ¼rzburg, Germany, March 3-5, 1999, Edition;Maui Prince Hotel;London;28-29 May;1959
9047698;Expertensysteme 93, 2. Deutsche Tagung Expertensysteme (XPS-93) Hamburg, Germany, February 17-19, 1993.;Mauna Lani Bay Hotel & Bungalows;Barcelona;22-23 August;1960
9047699;Expertensysteme 97 - BeitrÃ¤ge zur 4. Deutschen Tagung Wissensbasierte Systeme (XPS-97), Bad Honnef am Rhein, Germany, March 5-7, 1997;Hilton Waikoloa Village;Madrid;25-28 August;1961
9047787;T;Wyndham at Waikiki Beach Walk;Berlin;12-14 June;1962
9047912;IEEE International Conference on Edge Computing, EDGE 2017, Honolulu, HI, USA, June 25-30, 2017;Marriott Waiohai Beach Club;Athens;17-19 September;1963
9047913;2018 IEEE International Conference on Edge Computing, EDGE 2018, San Francisco, CA, USA, July 2-7, 2018;Westin Kaanapali Ocean Resort Villas;Paris;20-22 September;1964
9047961;International Colloquium Universal Machines and Computations, MCU'98, Metz, France, March 23-27, 1998, Edition, Volume I;Wailea Beach Marriott Resort & Spa;Brussels;22-25 December;1965
9048025;International Conference on eHealth, Telemedicine, and Social Medicine, eTELEMED 2009, February 1-7, 2009, Cancun, Mexico;Hyatt Regency Maui Resort & Spa;Thessaloniki;10-12 November;1966
9048026;The Second International Conference on eHealth, Telemedicine, and Social Medicine, eTELEMED 2010, 10-16 February 2010, St. Maarten, Netherlands Antilles;Fairmont Kea Lani;London;12-13 July;1967
9048117;Edition of the 5th International Conference on Web Intelligence, Mining and Semantics, WIMS 2015, Larnaca, Cyprus, July 13-15, 2015;Moana Surfrider;Barcelona;1-2 June;1968
